srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label,attack_id
175.45.176.2,43850,149.171.126.13,80,tcp,FIN,0.244832,876,9446,62,252,2,5,http,25780.94336,286629.2188,10,14,255,255,343078991,3590939569,88,675,1,4200,1295.366611,1510.194144,1421927423,1421927423,27.203556,18.206078,0.052299,0.007492,0.044807,0,1,1.0,0.0,0,3,1,1,1,1,1,1,Exploits,1,exploits_1_14917112613
175.45.176.1,4765,149.171.126.13,80,tcp,FIN,0.249003,744,1306,62,252,2,2,http,21525.8457,36722.44922,10,8,255,255,3245068703,177825371,74,163,1,255,1455.885435,57.564633,1421927425,1421927425,27.667,32.583285,0.055891,0.010954,0.044937,0,1,1.0,0.0,0,3,2,1,1,1,1,1,Exploits,1,exploits_1_14917112613
175.45.176.1,52726,149.171.126.13,80,tcp,FIN,0.513537,776,1284,62,252,2,2,http,10889.18652,18008.43945,10,10,255,255,1805425761,2068578368,78,128,1,196,3669.106673,100.935828,1421927425,1421927426,57.059667,51.235,0.116633,0.051721,0.064912,0,1,1.0,0.0,0,3,2,1,1,1,1,1,Exploits,1,exploits_1_14917112613
175.45.176.0,21990,149.171.126.13,80,tcp,FIN,2.724995,2952,44474,62,252,8,17,http,8273.042969,127131.25,22,38,255,255,3173766787,3898739370,134,1170,2,811,15282.40583,11994.68835,1421927444,1421927447,129.761664,72.961082,0.054767,0.005354,0.049413,0,1,1.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112613
175.45.176.1,15810,149.171.126.13,80,tcp,FIN,0.164546,6326,268,254,252,3,1,http,281939.4063,10890.57129,12,6,255,255,3749408770,3625265729,527,45,1,0,839.59647,47.480871,1421927453,1421927453,13.32,30.104199,0.059715,0.014021,0.045694,0,1,1.0,0.0,0,1,1,1,2,1,1,1,Exploits,1,exploits_1_14917112613
175.45.176.0,14324,149.171.126.13,502,tcp,FIN,0.214066,468,268,254,252,2,1,-,15770.83691,8371.25,10,6,255,255,2784361789,2253194490,47,45,0,0,1128.526548,60.616703,1421927456,1421927456,23.785111,41.159,0.052302,0.0076,0.044702,0,1,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1,dos_1_14917112613
175.45.176.0,40411,149.171.126.13,110,tcp,FIN,2.788974,3470,538277,62,252,7,206,pop3,9827.269531,1540305.5,78,416,255,255,828504657,3589115143,44,1294,0,0,1787.25801,728.769024,1421927464,1421927467,36.220443,6.696039,0.049865,0.005702,0.044163,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112613
175.45.176.0,40411,149.171.126.13,110,tcp,FIN,2.788974,3470,538277,62,252,7,206,pop3,9827.269531,1540305.5,78,416,255,255,828504657,3589115143,44,1294,0,0,1787.25801,728.769024,1421927464,1421927467,36.220443,6.696039,0.049865,0.005702,0.044163,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112613
175.45.176.3,9731,149.171.126.13,111,tcp,FIN,0.626992,564,354,254,252,2,1,-,6481.741699,3955.393555,10,8,255,255,3414330802,1207037691,56,44,0,0,5423.718292,138.465109,1421927506,1421927506,69.209667,88.558289,0.053095,0.007063,0.046032,0,1,0.0,0.0,0,3,1,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112613
175.45.176.0,49815,149.171.126.13,110,tcp,FIN,3.681019,4998,857090,62,252,7,332,pop3,10768.75684,1859935.0,114,668,255,255,219241425,1909523289,44,1283,0,0,1915.680679,788.682707,1421927513,1421927517,32.575391,5.491673,0.055318,0.007474,0.047844,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112613
175.45.176.0,50162,149.171.126.13,21375,tcp,FIN,0.190013,720,268,254,252,2,1,-,27282.34375,9430.933594,10,6,255,255,4289701187,1838865137,72,45,0,0,992.135288,58.557875,1421927519,1421927519,18.610778,36.624398,0.052153,0.006885,0.045268,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Shellcode,1,shellcode_1_14917112613
175.45.176.0,50123,149.171.126.13,110,tcp,FIN,0.8489,1124,53652,62,252,7,27,pop3,10159.0293,496897.1563,24,58,255,255,1486641651,472542507,47,925,0,0,1797.976761,1140.037782,1421927536,1421927537,36.908697,14.774842,0.050839,0.006,0.044839,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112613
175.45.176.0,50123,149.171.126.13,110,tcp,FIN,0.8489,1124,53652,62,252,7,27,pop3,10159.0293,496897.1563,24,58,255,255,1486641651,472542507,47,925,0,0,1797.976761,1140.037782,1421927536,1421927537,36.908697,14.774842,0.050839,0.006,0.044839,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112613
175.45.176.1,31757,149.171.126.13,111,udp,INT,4e-06,168,0,254,0,0,0,-,168000000.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421927560,1421927560,0.004,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,1,1,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112613
175.45.176.3,32041,149.171.126.13,80,tcp,FIN,4.373165,5932,1087989,62,252,2,411,http,10769.31641,1987891.125,130,826,255,255,1458394508,40479250,46,1317,1,0,1789.944568,695.775562,1421927558,1421927563,33.900504,5.244023,0.091531,0.046192,0.045339,0,1,1.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112613
175.45.176.0,52155,149.171.126.13,80,tcp,FIN,0.225714,1290,39472,62,252,2,15,http,42460.8125,1357895.375,14,34,255,255,2595431952,2025974446,92,1161,1,18663,944.30355,844.80024,1421927566,1421927566,17.362615,6.619121,0.05063,0.0067,0.04393,0,1,1.0,0.0,0,1,1,1,1,1,1,1,Generic,1,generic_1_14917112613
175.45.176.3,43875,149.171.126.13,80,tcp,FIN,0.187733,958,268,254,252,2,1,http,36775.63281,9545.47168,10,6,255,255,1305046280,886028512,96,45,1,0,1031.183679,61.591641,1421927571,1421927571,19.299111,36.204199,0.052365,0.006708,0.045657,0,1,1.0,0.0,0,1,1,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112613
175.45.176.2,42963,149.171.126.13,554,tcp,FIN,0.230327,828,9452,62,252,2,5,-,25910.98828,304853.5313,10,14,255,255,3703535303,3290354382,83,675,0,0,1223.813879,1473.34193,1421927572,1421927572,25.591889,17.166231,0.05171,0.006463,0.045247,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112613
175.45.176.2,41045,149.171.126.13,80,tcp,FIN,0.184237,804,6868,62,252,2,4,http,31437.76758,273387.0,10,12,255,255,2898231243,3211197766,80,572,1,2946,1020.28716,1099.356107,1421927578,1421927578,20.470778,13.996273,0.04656,0.029523,0.017037,0,1,1.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112613
