srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label,attack_id,total_duration,cumulative_duration,remaining_time
175.45.176.2,23357,149.171.126.16,80,tcp,FIN,0.240139,918,25552,62,252,2,10,http,28050.42188,815794.1875,12,24,255,255,1708297952,1939490744,77,1065,1,12026,1170.481668,1144.38336,1421927416,1421927416,21.830818,9.570304,0.051475,0.006528,0.044947,0,1,1.0,0.0,0,3,2,2,1,1,1,1,Exploits,1,exploits_1_14917112616,298.304897,0.240139,298.064758
175.45.176.0,13284,149.171.126.16,80,tcp,FIN,2.39039,1362,268,254,252,6,1,http,4233.619141,749.668518,14,6,255,255,3897219059,2466816006,97,45,1,0,18786.7114,941.724938,1421927414,1421927416,183.579303,474.259406,0.066088,0.017959,0.048129,0,1,1.0,0.0,0,5,2,2,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112616,882.971963,2.39039,880.5815729999999
175.45.176.2,13792,149.171.126.16,5555,tcp,FIN,0.17519,8168,268,254,252,4,1,-,346366.8125,10228.89453,14,6,255,255,2505143795,3592239707,583,45,0,0,774.788316,47.765387,1421927417,1421927417,11.837692,33.287,0.054878,0.008744,0.046134,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112616,298.304897,0.415329,297.889568
175.45.176.0,27804,149.171.126.16,111,tcp,FIN,0.695382,564,354,254,252,2,1,-,5844.27002,3566.38501,10,8,255,255,1064076525,1964745949,56,44,0,0,5579.765824,140.926172,1421927428,1421927429,76.503111,91.689,0.075913,0.053548,0.022365,0,1,0.0,0.0,0,3,2,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112616,882.971963,3.085772,879.8861909999999
175.45.176.1,47096,149.171.126.16,111,tcp,FIN,0.625212,564,354,254,252,2,1,-,6500.194824,3966.654541,10,8,255,255,4065997112,478325110,56,44,0,0,5430.792169,137.643219,1421927433,1421927434,69.003556,87.915289,0.054839,0.009784,0.045055,0,1,0.0,0.0,0,1,2,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112616,882.971963,3.710984,879.2609789999999
175.45.176.1,12940,149.171.126.16,80,tcp,FIN,0.268272,878,1002,62,252,2,2,http,23588.0,26152.56055,10,8,255,255,1657065760,2730092963,88,125,1,78,1466.979442,53.908418,1421927435,1421927435,29.808,37.050855,0.055114,0.008277,0.046837,0,1,1.0,0.0,0,3,1,1,1,1,1,1,DoS,1,dos_1_14917112616,1412.528204,0.268272,1412.259932
175.45.176.3,26334,149.171.126.16,80,tcp,FIN,0.257718,798,5348,62,252,2,3,http,22318.96875,149434.6563,10,10,255,255,714980247,3840527734,80,535,1,2234,1361.329224,1908.70367,1421927436,1421927436,28.635333,27.355222,0.057726,0.010819,0.046907,0,1,1.0,0.0,0,2,1,1,1,1,1,1,Exploits,1,exploits_1_14917112616,298.304897,0.673047,297.63185
175.45.176.3,7177,149.171.126.16,80,tcp,FIN,0.188505,1208,1020,62,252,2,2,-,46173.84375,37898.19922,10,8,255,255,3169747251,362560593,121,128,1,0,1092.069539,40.735301,1421927450,1421927450,20.945,24.700285,0.031407,0.014591,0.016816,0,1,1.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112616,298.304897,0.861552,297.44334499999997
175.45.176.3,42254,149.171.126.16,445,tcp,FIN,1.512013,10976,9180,62,252,19,18,-,56756.12891,47359.38281,44,40,255,255,1762564118,1774833809,249,230,0,0,1777.79883,47.691297,1421927450,1421927452,35.163092,38.108438,0.038093,0.019205,0.018888,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112616,298.304897,2.373565,295.931332
175.45.176.1,50185,149.171.126.16,110,tcp,FIN,0.819419,1018,27074,62,252,7,16,pop3,9489.650391,256982.0781,22,36,255,255,594184674,657922877,46,752,0,0,1936.658931,1472.501123,1421927457,1421927458,39.019951,23.229114,0.051639,0.005657,0.045982,0,1,0.0,0.0,0,1,1,1,2,1,1,1,Exploits,1,exploits_1_14917112616,298.304897,3.192984,295.11191299999996
